Tipo de Muestra,Numero,area,perimetro,largo,ancho,volumen,superficie,espesor,espesor medio,intensidad media,contraste medio,suavidad,asimetria,uniformidad,aleatoriedad,Rp,area convex hull,perimetro convex hull,Ra,Rv,Rs,superficie convex hull,volumen convex hull,enlongacion Feret 2D,convexidad Feret 2D,solidez Feret 2D,factor de forma 2D,circularidad,rectangularidad,compacticidad 2D,relacion de aspecto 2D,redondez 2D,curvatura 2D,solidez 2D,convexidad 2D,area de defecto,factor de Paris 2D,extension 2D,indice de concavidad 2D,enlongacion Feret 3D,convexidad Feret 3D,solidez Feret 3D,relacion de aspecto 3D,planitud,factor de forma 3D,esfericidad,paralelepipedad,compacticidad 3D,redondez 3D,curvatura 3D,solidez 3D,convexidad 3D,volumen de defecto,factor de Paris 3D,extension 3D,indice de concavidad 3D,factor de Wilson-Huang,factor de Dellino,clase
CA3 V1A,0.307,9681.41,536.54,161.11,104.32,642467.0483,57379.37,140.54,66.15,7.88219863,2.52183126,0.86412366,-4.649718835,67.13015707,2.864961401,85.393,10840.953,583.367,55.513,53.529,67.573,55949.94852,901078.383,2.6810591,0.8676225,1.8804743,0.4226144,0.650088,1.0106996,0.5760346,0.6475079,0.4749017,1.0600583,0.8930405,0.9197304,0.1197701,-0.1605391,0.6450263,0.1337294,4.3210307,1.1091126,1.6131482,0.4984628,1.3472406,0.4970996,0.6275219,0.5301945,0.2719869,0.4419916,0.9246565,0.712998,1.0255482,0.4025286,0.0510964,0.3814694,0.2881369,0.7599284,0.4079445,0
CA3 V1A,0.311,5495.41,401.31,133.35,69.41,394446.535,40440.13,140.54,71.55,8.52556611,3.03401968,0.90201146,-4.904756558,80.30122025,2.948956531,63.87,6080.512,462.862,41.824,45.495,56.729,39674.53256,497797.7355,3.2358318,0.9050892,2.2968665,0.4287953,0.6548246,0.9896183,0.5937246,0.5205099,0.3934814,0.9579373,0.9037742,0.8670187,0.1064711,-0.2659627,0.6569391,0.1641446,7.0380131,1.5640964,2.9200072,0.7057913,2.0248399,0.5158168,0.6431768,0.5355946,0.3032217,0.2713634,0.6516842,0.7923831,1.0192969,0.2620157,0.0385939,0.3826706,0.2085117,0.7872296,0.421168,0
CA3 V1A,0.316,1358.42,166.58,53.84,35.12,37470.605,7338.42,60.7,27.5,3.27635906,1.50731666,0.69437686,0.276995028,12.77174293,1.496218777,26.512,1481.066,205.36,20.794,20.759,24.166,8004.463914,53533.81998,2.1339097,0.823645,1.5371833,0.6151743,0.7843305,0.9362635,0.7184135,0.6523031,0.5966698,0.9848451,0.9171909,0.8111628,0.0902856,-0.3776745,0.7832759,0.2061961,5.9672589,1.4458659,2.1869355,0.6182044,1.7282266,0.6338888,0.737919,0.5032991,0.3264946,0.3200564,0.6340774,0.6999427,0.9167909,0.4286884,-0.1664181,0.466459,0.311381,0.8898154,0.5787724,0
CA3 V1A,0.332,1210.84,184.25,54.26,39.12,36151.9575,8121.59,80.7,29.76,3.54633828,1.82708936,0.7694926,-0.474191653,15.63966151,1.497477664,29.324,1453.269,204.752,19.632,20.512,25.422,9420.731325,60390.07195,2.4314919,0.8325337,1.5911223,0.4482101,0.6694849,0.9865603,0.5704376,0.7209731,0.5236454,1.0808809,0.8331839,0.8998697,0.2002152,-0.2002606,0.6846479,0.1945602,14.5375154,2.1717671,4.5567487,0.6374728,2.0628857,0.5252867,0.6510249,0.4204407,0.211047,0.1313745,0.3969567,0.5986407,0.8620976,0.670451,-0.2758048,0.3525437,0.4243894,1.1041291,0.4358514,0
CA3 V1A,0.348,8151.12,652.44,137.98,110.84,196174.0058,48356.15,129.14,23.99,2.85863882,1.67031564,0.73614458,1.472764574,10.78308275,1.252828432,103.839,11461.509,575.634,50.937,36.045,62.033,54295.12493,949681.5331,2.3356889,0.7530421,1.304609,0.2406279,0.4905384,1.3110682,0.5329723,0.8033048,0.5451238,1.5051319,0.7111734,1.1334277,0.4061269,0.2668554,0.7494267,0.3181568,10.9777232,0.9649205,1.187338,0.1928454,1.1650773,0.196196,0.3376448,0.5098105,0.0993293,0.1739759,0.922995,0.2065682,0.8906168,3.8410162,-0.2187664,0.4808549,0.8009361,0.8696085,0.1656277,0
CA3 V1A,0.361,12659.66,493.22,164.48,117.15,657015.3033,70714.2,111.18,51.74,6.1643688,2.11753924,0.81765043,-11.5583963,41.6524959,2.417856027,78.498,13199.423,619.81,63.48,53.93,75.015,57874.90824,1097179.888,2.1369982,0.8336894,1.60976,0.653959,0.8086773,0.8756525,0.6570019,0.7122446,0.5958075,0.9545039,0.9591071,0.7957598,0.0426365,-0.4084804,0.6850142,0.2082938,2.0914671,0.67093,0.6557636,0.367405,0.9490007,0.3715709,0.516846,0.6990447,0.3066982,0.9131673,1.8211221,0.5988219,1.2218456,0.6699457,0.4436911,0.5121694,0.4584314,0.6940827,0.4179616,0
CA3 V1A,0.365,5556.81,384.9,135.87,63.31,549112.1658,48842.01,179.87,98.51,11.73736705,5.00235101,0.96157322,-36.62985986,159.7767889,3.343692398,61.259,6086.839,470.494,42.057,50.799,62.344,47968.1914,604663.201,3.3221681,0.907235,2.382019,0.4713457,0.6865462,0.9662115,0.6459957,0.4659601,0.3832556,0.9017257,0.9129221,0.8180772,0.0953837,-0.3638456,0.7076132,0.201689,10.5982563,2.11898,5.0394202,0.9891458,2.8411414,0.5409996,0.6639438,0.549664,0.3548951,0.1802051,0.4805221,0.908129,1.0182166,0.1011652,0.0364333,0.3907981,0.0936597,0.8949093,0.4558281,0
CA3 V1A,0.368,6642.64,432.43,129.14,105.58,479639.0208,72315.97,179.87,82.41,9.81873451,3.28393636,0.91514089,3.169825779,82.731815,2.94806829,68.823,7660.394,512.625,45.983,48.56,75.86,54250.59378,840987.2934,2.5106192,0.7914269,1.7098593,0.4463946,0.6681277,0.9211614,0.4871899,0.8175623,0.5071416,1.0658723,0.8671408,0.8435599,0.1532152,-0.3128801,0.5618348,0.2052439,12.133357,1.8735949,3.6233032,0.7021676,1.7036623,0.2622946,0.4097569,0.6473625,0.1955721,0.1574057,0.7114658,0.5703285,1.3329987,0.7533755,0.6659974,0.3429113,0.5436044,1.1052062,0.2737699,0
CA3 V1A,0.38,5329.82,369.97,104.95,70.67,590164.8983,49980.85,188.56,110.38,13.15212677,5.71181876,0.97026011,-88.96595491,201.8205815,3.471841523,58.883,5694.651,402.491,41.189,52.035,63.066,48449.66297,720809.8592,2.0665806,0.8191734,1.5191046,0.489316,0.6995112,1.0533254,0.7186129,0.6733683,0.6161093,1.1221068,0.9359345,0.9192,0.0684508,-0.1615999,0.7678026,0.1031165,11.3591232,2.3053555,4.8696314,1.2570639,2.6681135,0.5616867,0.6807632,0.6165764,0.4220039,0.1681344,0.4474814,0.8187525,1.0316037,0.2213703,0.0632073,0.515423,0.1839822,1.2349956,0.4762015,0
CA3 V1A,0.408,751.65,144.28,33.02,32.81,27135.7858,7971.25,116.88,35.99,4.28807375,1.42929606,0.67136475,-0.532330075,20.02828926,1.979364724,22.963,831.771,154.255,15.468,18.642,25.186,8928.102807,48534.20345,1.4505693,0.6724916,1.0295331,0.4537465,0.6736071,1.095853,0.6937969,0.9936402,0.8777516,1.3908465,0.9036743,0.9353326,0.1065934,-0.1293348,0.7677511,0.1160194,58.8391247,4.8068779,17.2250036,1.0933866,3.5622957,0.4054889,0.5478386,0.4540716,0.2143004,0.032459,0.1857394,0.5591064,0.8928269,0.7885682,-0.2143463,0.3832908,0.4537325,2.2666403,0.3690279,0
